index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera
72,2015-01-29,2015,0,0,42,1,5,Stillwater,OK,36,False,other,Foot,1,False
73,2015-01-30,2015,0,1,48,1,5,Billings,MT,26,False,attack,Foot,1,False
74,2015-01-31,2015,0,1,31,1,2,Houston,TX,43,False,attack,Not fleeing,0,False
75,2015-01-31,2015,1,1,54,1,1,Randallstown,MD,20,True,other,Not fleeing,0,False
76,2015-02-02,2015,0,0,59,1,5,Hummelstown,PA,38,False,other,Foot,1,False
77,2015-02-02,2015,0,1,42,1,5,Apple Valley,CA,4,True,attack,Not fleeing,0,False
78,2015-02-02,2015,0,1,17,1,5,Bay City,MI,22,False,attack,Not fleeing,0,False
79,2015-02-03,2015,0,1,23,1,1,St. Louis,MO,24,False,attack,Foot,1,False
80,2015-02-03,2015,0,1,38,0,1,Emeryville,CA,4,False,attack,Car,1,False
81,2015-02-03,2015,0,1,29,1,1,Antioch,CA,4,True,other,Not fleeing,0,False
82,2015-02-03,2015,0,1,45,1,5,Douglas,GA,10,True,attack,Not fleeing,0,False
83,2015-02-04,2015,0,0,28,1,1,Tallahassee,FL,9,False,attack,Not fleeing,0,False
84,2015-02-04,2015,0,1,37,1,2,Orlando,FL,9,False,attack,Not fleeing,0,False
85,2015-02-04,2015,0,1,28,1,2,Tempe,AZ,3,False,attack,Car,1,False
86,2015-02-04,2015,0,0,28,1,2,Tempe,AZ,3,False,other,Not fleeing,0,False
87,2015-02-04,2015,0,1,51,1,1,Lorena,TX,43,False,attack,Car,1,False
88,2015-02-04,2015,0,1,36,1,1,Memphis,TN,42,False,other,Not fleeing,0,False
89,2015-02-05,2015,0,1,59,1,5,Chino,CA,4,False,other,Car,1,False
90,2015-02-06,2015,0,1,25,1,1,Oklahoma City,OK,36,False,attack,Not fleeing,0,False
91,2015-02-07,2015,0,1,26,1,5,Calimesa,CA,4,False,attack,Not fleeing,0,False
92,2015-02-07,2015,0,1,74,1,1,Gastonia,NC,27,False,attack,Not fleeing,0,False
93,2015-02-08,2015,0,1,33,1,5,Anchorage,AK,0,False,attack,Car,1,False
94,2015-02-08,2015,0,1,27,1,5,Austin,TX,43,False,attack,Not fleeing,0,False
95,2015-02-08,2015,0,1,57,1,5,New City,NY,34,True,attack,Not fleeing,0,False
96,2015-02-08,2015,0,1,46,1,5,Orange County,FL,9,False,attack,Not fleeing,0,False
97,2015-02-08,2015,0,1,41,1,5,Nocona,TX,43,False,attack,Not fleeing,0,False
98,2015-02-09,2015,0,1,61,1,5,Smyrna,ME,21,True,undetermined,Not fleeing,0,False
99,2015-02-09,2015,0,1,45,1,1,Dallas,TX,43,False,attack,Not fleeing,0,False
100,2015-02-10,2015,0,1,49,1,1,Whitehaven,TN,42,False,attack,Not fleeing,0,False
101,2015-02-10,2015,0,1,45,1,5,New Castle,CO,5,True,attack,Car,1,False
102,2015-02-10,2015,1,0,35,1,2,Pasco,WA,47,True,other,Foot,1,False
103,2015-02-11,2015,0,1,23,1,1,San Jose,CA,4,True,other,Not fleeing,0,False
104,2015-02-11,2015,0,1,46,1,5,Dadeville,AL,1,True,attack,Foot,1,True
105,2015-02-13,2015,0,0,23,1,5,San Bernardino,CA,4,False,attack,Car,1,False
106,2015-02-13,2015,0,1,21,1,2,Kansas City,KS,16,False,attack,Car,1,False
