index,date,year,manner_of_death,armed,age,gender,race,city,state,state_ID,signs_of_mental_illness,threat_level,flee,flee_encoded,body_camera,longitude,latitude
54,2015-01-23,2015,0,1,61,1,5,Austin,TX,43,True,attack,Not fleeing,0,False,-97.789,30.167
55,2015-01-24,2015,0,1,45,1,5,Rexburg,ID,13,False,attack,Not fleeing,0,False,-111.78,43.826
56,2015-01-24,2015,0,1,26,1,1,Baltimore,MD,20,True,other,Not fleeing,0,False,-76.648,39.284
57,2015-01-24,2015,0,1,40,1,5,Fort Worth,TX,43,False,attack,Not fleeing,0,False,-97.38,32.678
58,2015-01-25,2015,0,1,26,1,2,Pueblo,CO,5,False,attack,Car,1,False,-104.574,38.285
60,2015-01-26,2015,0,1,17,0,2,Denver,CO,5,False,other,Not fleeing,0,False,-104.909,39.754
61,2015-01-26,2015,0,1,68,1,5,New Hope,MN,23,True,attack,Not fleeing,0,False,-93.386,45.036
62,2015-01-26,2015,0,0,24,1,2,Tahoka,TX,43,False,other,Car,1,False,-101.666,33.166
63,2015-01-26,2015,0,1,34,1,2,Wasco,CA,4,True,other,Not fleeing,0,False,-119.335,35.589
64,2015-01-27,2015,0,1,39,0,5,Omaha,NE,29,True,attack,Not fleeing,0,False,-95.99,41.243
65,2015-01-27,2015,0,0,26,1,3,Phoenix,AZ,3,False,other,Not fleeing,0,False,-112.113,33.495
66,2015-01-27,2015,0,1,29,1,5,Morenci,AZ,3,False,attack,Not fleeing,0,False,-109.326,33.054
67,2015-01-27,2015,0,1,33,1,1,Columbus,OH,35,False,attack,Not fleeing,0,False,-82.997,39.879
68,2015-01-28,2015,0,1,45,1,5,Sunset,TX,43,False,attack,Not fleeing,0,False,-97.828,33.47
69,2015-01-28,2015,0,1,26,1,5,Rosenberg,TX,43,False,attack,Not fleeing,0,False,-95.784,29.558
70,2015-01-28,2015,1,1,35,1,0,Stockton,CA,4,True,attack,Not fleeing,0,False,-121.316,38.029
71,2015-01-29,2015,0,1,31,1,5,Wyoming,MI,22,True,attack,Not fleeing,0,False,-85.66,42.894
72,2015-01-29,2015,0,0,42,1,5,Stillwater,OK,36,False,other,Foot,1,False,-97.05,36.121
73,2015-01-30,2015,0,1,48,1,5,Billings,MT,26,False,attack,Foot,1,False,-108.513,45.79
74,2015-01-31,2015,0,1,31,1,2,Houston,TX,43,False,attack,Not fleeing,0,False,-95.72,29.861
75,2015-01-31,2015,1,1,54,1,1,Randallstown,MD,20,True,other,Not fleeing,0,False,-76.821,39.38
76,2015-02-02,2015,0,0,59,1,5,Hummelstown,PA,38,False,other,Foot,1,False,-76.713,40.273
77,2015-02-02,2015,0,1,42,1,5,Apple Valley,CA,4,True,attack,Not fleeing,0,False,-117.177,34.417
78,2015-02-02,2015,0,1,17,1,5,Bay City,MI,22,False,attack,Not fleeing,0,False,-83.873,43.599
79,2015-02-03,2015,0,1,23,1,1,St. Louis,MO,24,False,attack,Foot,1,False,-90.21,38.75
80,2015-02-03,2015,0,1,38,0,1,Emeryville,CA,4,False,attack,Car,1,False,-122.284,37.827
81,2015-02-03,2015,0,1,29,1,1,Antioch,CA,4,True,other,Not fleeing,0,False,-121.818,37.999
82,2015-02-03,2015,0,1,45,1,5,Douglas,GA,10,True,attack,Not fleeing,0,False,-82.845,31.523
83,2015-02-04,2015,0,0,28,1,1,Tallahassee,FL,9,False,attack,Not fleeing,0,False,-84.33,30.466
84,2015-02-04,2015,0,1,37,1,2,Orlando,FL,9,False,attack,Not fleeing,0,False,-81.306,28.5
85,2015-02-04,2015,0,1,28,1,2,Tempe,AZ,3,False,attack,Car,1,False,-111.978,33.378
86,2015-02-04,2015,0,0,28,1,2,Tempe,AZ,3,False,other,Not fleeing,0,False,-111.978,33.378
87,2015-02-04,2015,0,1,51,1,1,Lorena,TX,43,False,attack,Car,1,False,-97.208,31.397
88,2015-02-04,2015,0,1,36,1,1,Memphis,TN,42,False,other,Not fleeing,0,False,-89.932,35.164
89,2015-02-05,2015,0,1,59,1,5,Chino,CA,4,False,other,Car,1,False,-117.65,33.953
90,2015-02-06,2015,0,1,25,1,1,Oklahoma City,OK,36,False,attack,Not fleeing,0,False,-97.515,35.404
91,2015-02-07,2015,0,1,26,1,5,Calimesa,CA,4,False,attack,Not fleeing,0,False,-117.057,33.994
92,2015-02-07,2015,0,1,74,1,1,Gastonia,NC,27,False,attack,Not fleeing,0,False,-81.227,35.266
93,2015-02-08,2015,0,1,33,1,5,Anchorage,AK,0,False,attack,Car,1,False,-149.859,61.208
94,2015-02-08,2015,0,1,27,1,5,Austin,TX,43,False,attack,Not fleeing,0,False,-97.891,30.244
95,2015-02-08,2015,0,1,57,1,5,New City,NY,34,True,attack,Not fleeing,0,False,-74.001,41.152
96,2015-02-08,2015,0,1,46,1,5,Orange County,FL,9,False,attack,Not fleeing,0,False,-81.329,28.482
97,2015-02-08,2015,0,1,41,1,5,Nocona,TX,43,False,attack,Not fleeing,0,False,-97.712,33.787
98,2015-02-09,2015,0,1,61,1,5,Smyrna,ME,21,True,undetermined,Not fleeing,0,False,-68.104,46.159
99,2015-02-09,2015,0,1,45,1,1,Dallas,TX,43,False,attack,Not fleeing,0,False,-96.751,32.655
100,2015-02-10,2015,0,1,49,1,1,Whitehaven,TN,42,False,attack,Not fleeing,0,False,-90.054,35.025
101,2015-02-10,2015,0,1,45,1,5,New Castle,CO,5,True,attack,Car,1,False,-107.454,39.573
102,2015-02-10,2015,1,0,35,1,2,Pasco,WA,47,True,other,Foot,1,False,-119.101,46.228
103,2015-02-11,2015,0,1,23,1,1,San Jose,CA,4,True,other,Not fleeing,0,False,-121.876,37.316
104,2015-02-11,2015,0,1,46,1,5,Dadeville,AL,1,True,attack,Foot,1,True,-85.724,32.864
105,2015-02-13,2015,0,0,23,1,5,San Bernardino,CA,4,False,attack,Car,1,False,-117.333,34.165
106,2015-02-13,2015,0,1,21,1,2,Kansas City,KS,16,False,attack,Car,1,False,-94.64,39.071
107,2015-02-13,2015,0,0,35,1,2,Reading,PA,38,False,other,Not fleeing,0,False,-75.908,40.329
108,2015-02-13,2015,0,1,27,1,5,McLemoresville,TN,42,False,attack,Not fleeing,0,False,-88.572,35.95
109,2015-02-13,2015,0,1,37,1,2,San Manuel,AZ,3,True,other,Not fleeing,0,False,-110.628,32.614
110,2015-02-14,2015,0,1,16,1,5,Essex,MD,20,True,attack,Car,1,False,-76.44,39.299
111,2015-02-14,2015,0,1,51,1,5,Laredo,TX,43,False,attack,Not fleeing,0,False,-99.474,27.554
112,2015-02-15,2015,0,1,34,1,5,Iuka,MS,25,False,attack,Foot,1,False,-88.205,34.804
113,2015-02-15,2015,0,1,34,1,5,Colton,OR,37,True,other,Not fleeing,0,False,-122.437,45.175
114,2015-02-15,2015,1,0,25,1,1,Miami Gardens,FL,9,True,other,Not fleeing,0,False,-80.208,25.951
115,2015-02-16,2015,0,1,56,1,5,Marana,AZ,3,False,attack,Not fleeing,0,False,-111.09,32.359
116,2015-02-16,2015,0,1,26,1,5,Boise,ID,13,False,attack,Not fleeing,0,False,-116.222,43.579
117,2015-02-16,2015,0,1,24,1,5,Provo,UT,44,True,attack,Not fleeing,0,False,-111.624,40.103
118,2015-02-17,2015,0,1,43,0,5,Gaston County,NC,27,False,attack,Not fleeing,0,False,-81.169,35.229
119,2015-02-17,2015,0,0,31,1,5,Springfield,MO,24,False,other,Foot,1,False,-93.319,37.225
120,2015-02-17,2015,0,1,32,1,5,Eaton Rapids Township,MI,22,False,attack,Not fleeing,0,False,-84.701,42.514
